"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Orig","Origin","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2","Fv_Fm"
"S8_H_T_20","M8_44","M8","SS","AC8","H","Heat","T","Transplant","M8.SS.AC8.H.T",52.7920989891765,0.562608431350483,0.584503525922058,0.597
"S8_H_T_21","M12_60","M12","SS","AC8","H","Heat","T","Transplant","M12.SS.AC8.H.T",59.9556610710649,0.132054030015318,0.10331054464829,0.572666666666667
"S8_H_T_22","M12_71","M12","SS","AC8","H","Heat","T","Transplant","M12.SS.AC8.H.T",41.8741399125635,0.081390328425049,0.049749797950476,0.548333333333333
"S8_H_T_23","M12_25","M12","SS","AC8","H","Heat","T","Transplant","M12.SS.AC8.H.T",33.1570342466511,0.190619682276671,0.282720400451581,0.493333333333333
"S8_H_T_24","M12_23","M12","SS","AC8","H","Heat","T","Transplant","M12.SS.AC8.H.T",65.4793715920391,0.243750557546185,0.275545161190789,0.507
"S8_H_T_5","W2_13","W2","SS","AC8","H","Heat","T","Transplant","W2.SS.AC8.H.T",50.2891676593601,0.0637844321013129,0.0928674348248185,0.576
"S8_H_T_6","W2_6","W2","SS","AC8","H","Heat","T","Transplant","W2.SS.AC8.H.T",37.6882030333878,0.0415175008108989,0.101710341472214,0.589333333333333
"S8_H_T_7","W2_70","W2","SS","AC8","H","Heat","T","Transplant","W2.SS.AC8.H.T",43.5571454619228,0.0461958647349608,0.0525323681277572,0.545666666666667
"S8_H_T_8","W2_57","W2","SS","AC8","H","Heat","T","Transplant","W2.SS.AC8.H.T",20.642377597569,0.0468376278570672,0.149052597524538,0.516666666666667
"S8_H_T_9","M1_94","M1","SS","AC8","H","Heat","T","Transplant","M1.SS.AC8.H.T",35.5305036111322,0.0401046947038923,0.433888586796441,0.580333333333333
