"Site","ID","Orig","Origin","Genotype","TL.TP1_cm","TL.TP2_cm","TL.TP3_cm","TL.TP4_cm","Set","Site.Orig","TP1","TP2","TP1.2_days","T1.2_Ext_cm","T1.2_TLE_cm.day","TP3","TP4","TP3.4_days","T3.4_Ext_cm","T3.4_TLE_cm.day"
"KL","K8_T_1","T","Transplant","AC8",34.647,56.58,14.372,26.389,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,21.933,0.208885714285714,2022-03-28,2022-08-04,129,12.017,0.0931550387596899
"KL","K8_T_10","T","Transplant","AC8",33.438,74.523,NA,NA,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,41.085,0.391285714285714,NA,NA,NA,NA,NA
"KL","K8_T_11","T","Transplant","AC8",40.356,49.079,NA,NA,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,8.723,0.0830761904761905,NA,NA,NA,NA,NA
"KL","K8_T_13","T","Transplant","AC8",13.068,19.07,18.156,34.682,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,6.002,0.0571619047619048,2022-03-28,2022-08-04,129,16.526,0.128108527131783
"KL","K8_T_14","T","Transplant","AC8",29.93,47.27,NA,NA,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,17.34,0.165142857142857,NA,NA,NA,NA,NA
"KL","K8_T_17","T","Transplant","AC8",35.703,52.381,15.805,42.297,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,16.678,0.158838095238095,2022-03-28,2022-08-04,129,26.492,0.205364341085271
"KL","K8_T_18","T","Transplant","AC8",32.666,56.305,13.421,35.412,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,23.639,0.225133333333333,2022-03-28,2022-08-04,129,21.991,0.170472868217054
"KL","K8_T_2","T","Transplant","AC8",NA,NA,13.412,27.572,"KL.AC8.T","KL.T",NA,NA,NA,NA,NA,2022-03-28,2022-08-04,129,14.16,0.109767441860465
"KL","K8_T_3","T","Transplant","AC8",NA,NA,12.782,36.421,"KL.AC8.T","KL.T",NA,NA,NA,NA,NA,2022-03-28,2022-08-04,129,23.639,0.183248062015504
"KL","K8_T_5","T","Transplant","AC8",21.464,33.776,17.783,39.577,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,12.312,0.117257142857143,2022-03-28,2022-08-04,129,21.794,0.168945736434109
"KL","K8_T_6","T","Transplant","AC8",NA,NA,13.613,32.861,"KL.AC8.T","KL.T",NA,NA,NA,NA,NA,2022-03-28,2022-08-04,129,19.248,0.149209302325581
"KL","K8_T_7","T","Transplant","AC8",NA,NA,10.357,25.681,"KL.AC8.T","KL.T",NA,NA,NA,NA,NA,2022-03-28,2022-08-04,129,15.324,0.118790697674419
"KL","K8_T_8","T","Transplant","AC8",11.098,24.96,8.43,28.162,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,13.862,0.132019047619048,2022-03-28,2022-08-04,129,19.732,0.152961240310078
"KL","K8_T_9","T","Transplant","AC8",47.951,47.999,NA,NA,"KL.AC8.T","KL.T",2021-08-26,2021-12-09,105,0.0480000000000018,0.000457142857142874,NA,NA,NA,NA,NA
"SS","S10_N_1","N","Native","AC10",20.328,48.14,10.19,27.548,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,27.812,0.270019417475728,2022-03-27,2022-08-03,129,17.358,0.134558139534884
"SS","S10_N_13","N","Native","AC10",16.093,28.85,8.533,14.423,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,12.757,0.123854368932039,2022-03-27,2022-08-03,129,5.89,0.0456589147286822
"SS","S10_N_14","N","Native","AC10",19.431,36.32,10.419,19.518,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,16.889,0.163970873786408,2022-03-27,2022-08-03,129,9.099,0.0705348837209302
"SS","S10_N_17","N","Native","AC10",NA,NA,11.644,19.624,"SS.AC10.N","SS.N",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,7.98,0.0618604651162791
"SS","S10_N_18","N","Native","AC10",29.738,40.533,11.886,23.439,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,10.795,0.104805825242718,2022-03-27,2022-08-03,129,11.553,0.0895581395348837
"SS","S10_N_2","N","Native","AC10",NA,NA,12.387,24.856,"SS.AC10.N","SS.N",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,12.469,0.0966589147286822
"SS","S10_N_3","N","Native","AC10",24.451,45.627,13.979,21.12,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,21.176,0.205592233009709,2022-03-27,2022-08-03,129,7.141,0.0553565891472868
"SS","S10_N_4","N","Native","AC10",14.845,27.698,11.352,15.858,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,12.853,0.12478640776699,2022-03-27,2022-08-03,129,4.506,0.0349302325581395
"SS","S10_N_5","N","Native","AC10",5.457,12.837,NA,NA,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,7.38,0.0716504854368932,NA,NA,NA,NA,NA
"SS","S10_N_6","N","Native","AC10",3.897,8,NA,NA,"SS.AC10.N","SS.N",2021-08-27,2021-12-08,103,4.103,0.0398349514563107,NA,NA,NA,NA,NA
