TimeP,ID,Memory,MeasureT,Tank
M1,K8_H_T_11,1659,T3,H2
M1,K8_H_T_12,1660,T3,H2
M1,K8_H_N_11,1661,T3,H2
M1,K8_H_N_12,1662,T3,H2
M1,S10_H_N_12,1664,T3,H2
M1,S10_H_N_11,1665,T3,H2
M1,S10_H_T_11,1666,T3,H2
M1,S10_H_T_12,1667,T3,H2
M1,K10_H_T_12,1669,T3,H2
M1,K10_H_T_11,1670,T3,H2
M1,K10_H_N_12,1671,T3,H2
M1,K10_H_N_11,1672,T3,H2
M1,S12_H_T_12,1679,T3,H2
M1,S12_H_T_11,1680,T3,H2
M1,S12_H_N_12,1681,T3,H2
M1,S12_H_N_11,1682,T3,H2
M1,K12_H_N_12,1674,T3,H2
M1,K12_H_N_11,1675,T3,H2
M1,K12_H_T_11,1676,T3,H2
M1,K12_H_T_12,1677,T3,H2
M1,S8_C_N_11,1495,T1,C2
M1,S8_C_N_12,1496,T1,C2
M1,S8_C_T_11,1497,T1,C2
M1,S8_C_T_12,1498,T1,C2
M1,K8_C_N_11,1500,T1,C2
M1,K8_C_N_12,1501,T1,C2
M1,K8_C_T_11,1502,T1,C2
M1,K8_C_T_12,1503,T1,C2
M1,K10_C_T_12,1505,T1,C2
M1,K10_C_T_11,1506,T1,C2
M1,K10_C_N_12,1507,T1,C2
M1,K10_C_N_11,1508,T1,C2
M1,S10_C_N_11,1510,T1,C2
M1,S10_C_N_12,1511,T1,C2
M1,S10_C_T_12,1512,T1,C2
M1,S10_C_T_11,1513,T1,C2
M1,K12_C_T_11,1515,T1,C2
M1,K12_C_T_12,1516,T1,C2
M1,K12_C_N_11,1517,T1,C2
M1,K12_C_N_12,1518,T1,C2
M1,S12_C_N_11,1520,T1,C2
M1,S12_C_N_12,1521,T1,C2
M1,S12_C_T_11,1522,T1,C2
M1,S12_C_T_12,1523,T1,C2
M1,S8_C_N_11,1622,T2,C2
M1,S8_C_N_12,1623,T2,C2
M1,S8_C_T_11,1624,T2,C2
M1,S8_C_T_12,1625,T2,C2
M1,K8_C_N_11,1627,T2,C2
M1,K8_C_N_12,1628,T2,C2
M1,K8_C_T_11,1629,T2,C2
M1,K8_C_T_12,1630,T2,C2
M1,K10_C_T_12,1632,T2,C2
M1,K10_C_T_11,1633,T2,C2
M1,K10_C_N_12,1634,T2,C2
M1,K10_C_N_11,1635,T2,C2
M1,S10_C_N_11,1637,T2,C2
M1,S10_C_N_12,1638,T2,C2
M1,S10_C_T_12,1639,T2,C2
M1,S10_C_T_11,1640,T2,C2
M1,K12_C_T_11,1642,T2,C2
M1,K12_C_T_12,1643,T2,C2
M1,K12_C_N_11,1644,T2,C2
M1,K12_C_N_12,1645,T2,C2
M1,S12_C_N_11,1647,T2,C2
M1,S12_C_N_12,1648,T2,C2
M1,S12_C_T_11,1649,T2,C2
M1,S12_C_T_12,1650,T2,C2
M1,S8_C_N_11,1750,T3,C2
M1,S8_C_N_12,1751,T3,C2
M1,S8_C_T_11,1752,T3,C2
M1,S8_C_T_12,1753,T3,C2
M1,K8_C_N_11,1755,T3,C2
M1,K8_C_N_12,1756,T3,C2
M1,K8_C_T_11,1757,T3,C2
M1,K8_C_T_12,1758,T3,C2
M1,K10_C_T_12,1760,T3,C2
M1,K10_C_T_11,1761,T3,C2
M1,K10_C_N_12,1762,T3,C2
M1,K10_C_N_11,1763,T3,C2
M1,S10_C_N_11,1765,T3,C2
M1,S10_C_N_12,1766,T3,C2
M1,S10_C_T_12,1767,T3,C2
M1,S10_C_T_11,1768,T3,C2
M1,K12_C_T_11,1770,T3,C2
M1,K12_C_T_12,1771,T3,C2
M1,K12_C_N_11,1772,T3,C2
M1,K12_C_N_12,1773,T3,C2
M1,S12_C_N_11,1775,T3,C2
M1,S12_C_N_12,1776,T3,C2
M1,S12_C_T_11,1777,T3,C2
M1,S12_C_T_12,1778,T3,C2
M4,S8_H_N_15,1799,T1,H2
M4,S8_H_T_15,1800,T1,H2
M4,S8_H_N_16,1801,T1,H2
M4,S8_H_T_16,1802,T1,H2
M4,K8_H_N_15,1805,T1,H2
M4,K8_H_T_15,1806,T1,H2
M4,K8_H_N_16,1807,T1,H2
M4,K8_H_T_16,1808,T1,H2
M4,S10_H_N_15,1810,T1,H2
M4,S10_H_T_15,1811,T1,H2
M4,S10_H_N_16,1812,T1,H2
M4,S10_H_T_16,1813,T1,H2
M4,K10_H_N_15,1815,T1,H2
M4,K10_H_T_15,1816,T1,H2
M4,K10_H_N_16,1817,T1,H2
M4,K10_H_T_16,1818,T1,H2
M4,S12_H_T_16,1820,T1,H2
M4,S12_H_N_16,1821,T1,H2
M4,S12_H_T_15,1822,T1,H2
M4,S12_H_N_15,1824,T1,H2
M4,K12_H_N_15,1826,T1,H2
M4,K12_H_T_15,1827,T1,H2
M4,K12_H_N_16,1828,T1,H2
M4,K12_H_T_16,1829,T1,H2
M4,S8_H_N_13,1832,T1,H1
M4,S8_H_T_13,1833,T1,H1
M4,S8_H_N_14,1834,T1,H1
M4,S8_H_T_14,1835,T1,H1
M4,K8_H_T_14,1837,T1,H1
M4,K8_H_N_14,1838,T1,H1
M4,K8_H_T_13,1839,T1,H1
M4,K8_H_N_13,1840,T1,H1
M4,S10_H_N_13,1842,T1,H1
M4,S10_H_T_13,1843,T1,H1
M4,S10_H_N_14,1844,T1,H1
M4,S10_H_T_14,1845,T1,H1
M4,K10_H_N_13,1847,T1,H1
M4,K10_H_T_13,1848,T1,H1
M4,K10_H_N_14,1849,T1,H1
M4,K10_H_T_14,1850,T1,H1
M4,S12_H_T_14,1852,T1,H1
M4,S12_H_N_14,1853,T1,H1
M4,S12_H_T_13,1854,T1,H1
M4,S12_H_N_13,1855,T1,H1
M4,K12_H_T_14,1857,T1,H1
M4,K12_H_N_14,1858,T1,H1
M4,K12_H_T_13,1859,T1,H1
M4,K12_H_N_13,1860,T1,H1
M4,S8_C_N_13,1863,T1,C1
M4,S8_C_T_13,1864,T1,C1
M4,S8_C_N_14,1865,T1,C1
M4,S8_C_T_14,1866,T1,C1
M4,K8_C_N_13,1868,T1,C1
M4,K8_C_T_13,1869,T1,C1
M4,K8_C_N_14,1870,T1,C1
M4,K8_C_T_14,1871,T1,C1
M4,S10_C_T_14,1873,T1,C1
M4,S10_C_N_14,1874,T1,C1
M4,S10_C_T_13,1875,T1,C1
M4,S10_C_N_13,1876,T1,C1
M4,K10_C_T_14,1878,T1,C1
M4,K10_C_N_14,1879,T1,C1
M4,K10_C_T_13,1880,T1,C1
M4,K10_C_N_13,1881,T1,C1
M4,S12_C_N_13,1883,T1,C1
M4,S12_C_T_13,1884,T1,C1
M4,S12_C_N_14,1885,T1,C1
M4,S12_C_T_14,1886,T1,C1
M4,K12_C_N_13,1888,T1,C1
M4,K12_C_T_13,1889,T1,C1
M4,K12_C_N_14,1890,T1,C1
M4,K12_C_T_14,1891,T1,C1
M4,S8_C_N_15,1894,T1,C2
M4,S8_C_T_15,1895,T1,C2
M4,S8_C_N_16,1896,T1,C2
M4,S8_C_T_16,1897,T1,C2
M4,K8_C_N_15,1899,T1,C2
M4,K8_C_T_15,1901,T1,C2
M4,K8_C_N_16,1902,T1,C2
M4,K8_C_T_16,1903,T1,C2
M4,S10_C_N_15,1905,T1,C2
M4,S10_C_T_15,1906,T1,C2
M4,S10_C_N_16,1907,T1,C2
M4,S10_C_T_16,1908,T1,C2
M4,K10_C_T_16,1910,T1,C2
M4,K10_C_N_16,1911,T1,C2
