Row,Column,Well,Plate,RandN,Rep,A630,A663,A750
E,2,E2,2B,109,C,0.065,0.125,0.043
F,2,F2,2B,110,C,0.076,0.163,0.042
G,2,G2,2B,111,C,0.062,0.111,0.045
H,2,H2,2B,112,C,0.088,0.214,0.046
A,3,A3,2B,113,C,0.091,0.228,0.044
B,3,B3,2B,114,C,0.075,0.164,0.042
C,3,C3,2B,115,C,0.137,0.42,0.044
D,3,D3,2B,116,C,0.085,0.198,0.043
E,3,E3,2B,117,C,0.08,0.187,0.042
F,3,F3,2B,118,C,0.135,0.355,0.044
G,3,G3,2B,119,C,0.068,0.125,0.049
H,3,H3,2B,120,C,0.085,0.175,0.051
A,4,A4,2B,121,C,0.071,0.147,0.045
B,4,B4,2B,122,C,0.067,0.137,0.043
C,4,C4,2B,123,C,0.067,0.127,0.046
D,4,D4,2B,124,C,0.091,0.235,0.043
E,4,E4,2B,125,C,0.069,0.153,0.04
F,4,F4,2B,126,C,0.071,0.152,0.044
G,4,G4,2B,127,C,0.056,0.092,0.043
H,4,H4,2B,128,C,0.085,0.197,0.048
A,5,A5,2B,129,C,0.097,0.265,0.044
B,5,B5,2B,130,C,0.071,0.158,0.042
C,5,C5,2B,131,C,0.075,0.173,0.042
D,5,D5,2B,132,C,0.077,0.172,0.043
E,5,E5,2B,133,C,0.069,0.153,0.041
F,5,F5,2B,134,C,0.091,0.237,0.043
G,5,G5,2B,135,C,0.073,0.164,0.044
H,5,H5,2B,136,C,0.079,0.177,0.047
A,6,A6,2B,137,C,0.056,0.096,0.044
B,6,B6,2B,138,C,0.08,0.202,0.043
C,6,C6,2B,139,C,0.075,0.177,0.042
D,6,D6,2B,140,C,0.082,0.178,0.044
E,6,E6,2B,141,C,0.063,0.124,0.042
F,6,F6,2B,142,C,0.061,0.107,0.045
G,6,G6,2B,143,C,0.06,0.107,0.044
H,6,H6,2B,144,C,0.07,0.133,0.05
A,7,A7,2B,M4_58,A,0.057,0.09,0.047
B,7,B7,2B,M4_58,B,0.058,0.101,0.044
C,7,C7,2B,M4_58,C,0.057,0.101,0.042
A,8,A8,2B,89,A,0.097,0.211,0.047
B,8,B8,2B,90,A,0.052,0.081,0.043
C,8,C8,2B,91,A,0.069,0.146,0.044
D,8,D8,2B,92,A,0.066,0.132,0.043
E,8,E8,2B,93,A,0.054,0.087,0.041
F,8,F8,2B,94,A,0.053,0.092,0.041
G,8,G8,2B,95,A,0.072,0.156,0.043
H,8,H8,2B,96,A,0.059,0.102,0.046
A,1,A1,3A,145,A,0.089,0.206,0.043
B,1,B1,3A,146,A,0.068,0.16,0.037
C,1,C1,3A,147,A,0.077,0.188,0.036
D,1,D1,3A,148,A,0.053,0.094,0.04
E,1,E1,3A,149,A,0.056,0.111,0.036
F,1,F1,3A,150,A,0.054,0.099,0.039
G,1,G1,3A,151,A,0.056,0.114,0.038
H,1,H1,3A,152,A,0.054,0.098,0.039
A,2,A2,3A,153,A,0.087,0.198,0.05
B,2,B2,3A,154,A,0.086,0.207,0.044
C,2,C2,3A,155,A,0.065,0.138,0.039
D,2,D2,3A,156,A,0.061,0.114,0.043
E,2,E2,3A,157,A,0.064,0.139,0.039
F,2,F2,3A,158,A,0.069,0.157,0.041
G,2,G2,3A,159,A,0.063,0.133,0.043
H,2,H2,3A,160,A,0.077,0.171,0.045
A,3,A3,3A,161,A,0.063,0.099,0.046
B,3,B3,3A,162,A,0.076,0.179,0.041
C,3,C3,3A,163,A,0.068,0.145,0.041
D,3,D3,3A,164,A,0.055,0.092,0.041
E,3,E3,3A,165,A,0.05,0.087,0.04
F,3,F3,3A,166,A,0.054,0.104,0.04
G,3,G3,3A,167,A,0.064,0.135,0.041
H,3,H3,3A,168,A,0.059,0.107,0.044
A,4,A4,3A,169,A,0.072,0.164,0.043
B,4,B4,3A,170,A,0.062,0.121,0.043
C,4,C4,3A,171,A,0.059,0.118,0.041
D,4,D4,3A,172,A,0.074,0.163,0.043
E,4,E4,3A,173,A,0.076,0.171,0.042
F,4,F4,3A,174,A,0.071,0.165,0.041
G,4,G4,3A,175,A,0.056,0.108,0.041
H,4,H4,3A,176,A,0.058,0.101,0.047
A,5,A5,3A,177,A,0.061,0.12,0.043
B,5,B5,3A,178,A,0.069,0.15,0.042
C,5,C5,3A,179,A,0.062,0.124,0.043
D,5,D5,3A,180,A,0.093,0.245,0.042
E,5,E5,3A,181,A,0.075,0.178,0.041
F,5,F5,3A,182,A,0.083,0.196,0.04
G,5,G5,3A,183,A,0.06,0.127,0.041
H,5,H5,3A,184,A,0.091,0.195,0.055
A,6,A6,3A,185,A,0.078,0.172,0.048
B,6,B6,3A,186,A,0.08,0.193,0.042
C,6,C6,3A,187,A,0.057,0.112,0.042
D,6,D6,3A,188,A,0.072,0.169,0.043
E,6,E6,3A,189,A,0.057,0.1,0.042
F,6,F6,3A,190,A,0.107,0.275,0.042
G,6,G6,3A,191,A,0.066,0.142,0.042
H,6,H6,3A,192,A,0.055,0.093,0.045
A,7,A7,3A,193,A,0.101,0.28,0.043
B,7,B7,3A,194,A,0.076,0.181,0.04
C,7,C7,3A,195,A,0.099,0.293,0.04
D,7,D7,3A,196,A,0.09,0.227,0.044
E,7,E7,3A,197,A,0.094,0.26,0.04
F,7,F7,3A,198,A,0.064,0.15,0.038
G,7,G7,3A,199,A,0.067,0.157,0.039
H,7,H7,3A,200,A,0.073,0.184,0.042
A,8,A8,3A,201,A,0.085,0.208,0.047
B,8,B8,3A,202,A,0.076,0.193,0.041
C,8,C8,3A,203,A,0.071,0.18,0.042
D,8,D8,3A,204,A,0.086,0.243,0.041
E,8,E8,3A,205,A,0.083,0.22,0.042
F,8,F8,3A,206,A,0.058,0.121,0.041
G,8,G8,3A,207,A,0.061,0.131,0.043
H,8,H8,3A,208,A,0.086,0.227,0.043
A,9,A9,3A,209,A,0.063,0.141,0.042
B,9,B9,3A,210,A,0.073,0.182,0.041
C,9,C9,3A,211,A,0.119,0.371,0.045
D,9,D9,3A,212,A,0.096,0.28,0.041
E,9,E9,3A,213,A,0.093,0.262,0.04
F,9,F9,3A,214,A,0.106,0.248,0.046
G,9,G9,3A,215,A,0.064,0.145,0.04
H,9,H9,3A,216,A,0.097,0.266,0.044
A,10,A10,3A,217,A,0.067,0.165,0.043
B,10,B10,3A,218,A,0.072,0.171,0.045
C,10,C10,3A,219,A,0.075,0.191,0.04
D,10,D10,3A,220,A,0.101,0.302,0.041
E,10,E10,3A,221,A,0.078,0.205,0.039
F,10,F10,3A,222,A,0.097,0.283,0.04
G,10,G10,3A,223,A,0.067,0.158,0.039
H,10,H10,3A,224,A,0.066,0.129,0.05
A,11,A11,3A,225,A,0.066,0.144,0.047
B,11,B11,3A,226,A,0.101,0.264,0.043
C,11,C11,3A,227,A,0.085,0.227,0.042
D,11,D11,3A,228,A,0.09,0.248,0.04
E,11,E11,3A,229,A,0.068,0.15,0.041
F,11,F11,3A,230,A,0.117,0.316,0.04
G,11,G11,3A,231,A,0.059,0.126,0.043
H,11,H11,3A,232,A,0.116,0.243,0.044
A,12,A12,3A,233,A,0.079,0.19,0.045
B,12,B12,3A,234,A,0.078,0.204,0.04
C,12,C12,3A,235,A,0.076,0.209,0.04
D,12,D12,3A,236,A,0.078,0.204,0.041
E,12,E12,3A,237,A,0.076,0.208,0.04
F,12,F12,3A,238,A,0.101,0.284,0.042
G,12,G12,3A,239,A,0.077,0.209,0.039
H,12,H12,3A,240,A,0.096,0.28,0.044
A,1,A1,3B,145,B,0.085,0.207,0.036
B,1,B1,3B,146,B,0.069,0.163,0.036
C,1,C1,3B,147,B,0.079,0.196,0.036
