TimeP,RandN,Rep,Count_ul,FC_df,InputVol_ul,RespVol_ul,SendInputVol_ul,SendTotalVol_ul
M4,M4_44,B,84.2,1,1000,600,20,200
M4,M4_44,C,37.56,1,1000,600,20,200
M4,M4_45,A,88.17,1,1000,600,20,200
M4,M4_45,B,112.03,1,1000,600,20,200
M4,M4_45,C,127.44,1,1000,600,20,200
M4,M4_46,A,33.33,1,1000,600,20,200
M4,M4_46,B,49.53,1,1000,600,20,200
M4,M4_46,C,29.52,1,1000,600,20,200
M4,M4_47,A,54.39,1,1000,600,20,200
M4,M4_47,B,53.1,1,1000,600,20,200
M4,M4_47,C,37.48,1,1000,600,20,200
M4,M4_48,A,275.64,1,1000,600,20,200
M4,M4_48,B,307.84,1,1000,600,20,200
M4,M4_48,C,281.02,1,1000,600,20,200
M4,M4_49,A,229.64,1,1000,600,20,200
M4,M4_49,B,228.39,1,1000,600,20,200
M4,M4_49,C,398.02,1,1000,600,20,200
M4,M4_50,A,468.96,1,1000,600,20,200
M4,M4_50,B,495.36,1,1000,600,20,200
M4,M4_50,C,671.87,1,1000,600,20,200
M4,M4_51,A,373.24,1,1000,600,20,200
M4,M4_51,B,385.12,1,1000,600,20,200
M4,M4_51,C,481,1,1000,600,20,200
M4,M4_52,A,321.3,1,1000,600,20,200
M4,M4_52,B,458.76,1,1000,600,20,200
M4,M4_52,C,175.45,1,1000,600,20,200
M4,M4_53,A,737.4,1,1000,600,20,200
M4,M4_53,B,510.04,1,1000,600,20,200
M4,M4_53,C,755.38,1,1000,600,20,200
M4,M4_54,A,348.25,1,1000,600,20,200
M4,M4_54,B,321.7,1,1000,600,20,200
M4,M4_54,C,315.27,1,1000,600,20,200
M4,M4_55,A,166.61,1,1000,600,20,200
M4,M4_55,B,189.27,1,1000,600,20,200
M4,M4_55,C,79.46,1,1000,600,20,200
M4,M4_56,A,78.78,1,1000,600,20,200
M4,M4_56,B,202.16,1,1000,600,20,200
M4,M4_56,C,154.68,1,1000,600,20,200
M4,M4_57,A,807.48,1,1000,600,20,200
M4,M4_57,B,357.77,1,1000,600,20,200
M4,M4_57,C,575.2,1,1000,600,20,200
M4,M4_58,A,201.4,1,1000,600,20,200
M4,M4_58,B,162.46,1,1000,600,20,200
M4,M4_58,C,182.64,1,1000,600,20,200
M4,M4_59,A,176.8,1,1000,600,20,200
M4,M4_59,B,301.86,1,1000,600,20,200
M4,M4_59,C,217.14,1,1000,600,20,200
M4,M4_60,A,227.35,1,1000,600,20,200
M4,M4_60,B,243.28,1,1000,600,20,200
M4,M4_60,C,204.96,1,1000,600,20,200
M4,M4_61,A,242.24,1,1000,600,20,200
M4,M4_61,B,267.88,1,1000,600,20,200
M4,M4_61,C,511.61,1,1000,600,20,200
M4,M4_62,A,197.76,1,1000,600,20,200
M4,M4_62,B,129.16,1,1000,600,20,200
M4,M4_62,C,176.4,1,1000,600,20,200
M4,M4_63,A,366.81,1,1000,600,20,200
M4,M4_63,B,376.65,1,1000,600,20,200
M4,M4_63,C,272.81,1,1000,600,20,200
M4,M4_64,A,104.58,1,1000,600,20,200
M4,M4_64,B,158.92,1,1000,600,20,200
M4,M4_64,C,138.78,1,1000,600,20,200
M4,M4_65,A,202.48,1,1000,600,20,200
M4,M4_65,B,189.24,1,1000,600,20,200
M4,M4_65,C,202.76,1,1000,600,20,200
M4,M4_66,A,172.48,1,1000,600,20,200
M4,M4_66,B,137.56,1,1000,600,20,200
M4,M4_66,C,158.91,1,1000,600,20,200
M4,M4_67,A,377.84,1,1000,600,20,200
M4,M4_67,B,340.88,1,1000,600,20,200
M4,M4_67,C,347.24,1,1000,600,20,200
M4,M4_68,A,179.36,1,1000,600,20,200
M4,M4_68,B,198.44,1,1000,600,20,200
M4,M4_68,C,91,1,1000,600,20,200
M4,M4_69,A,146.04,1,1000,600,20,200
M4,M4_69,B,176.28,1,1000,600,20,200
M4,M4_69,C,316.04,1,1000,600,20,200
M4,M4_70,A,278.83,1,1000,600,20,200
M4,M4_70,B,304.92,1,1000,600,20,200
M4,M4_70,C,266.44,1,1000,600,20,200
M4,M4_71,A,414.56,1,1000,600,20,200
M4,M4_71,B,411.12,1,1000,600,20,200
M4,M4_71,C,356.92,1,1000,600,20,200
M4,M4_72,A,169.32,1,1000,600,20,200
M4,M4_72,B,344.79,1,1000,600,20,200
M4,M4_72,C,345.12,1,1000,600,20,200
M4,M4_73,A,191.4,1,1000,600,20,200
M4,M4_73,B,225.92,1,1000,600,20,200
M4,M4_73,C,121.52,1,1000,600,20,200
M4,M4_74,A,554.88,1,1000,600,20,200
M4,M4_74,B,199.67,1,1000,600,20,200
M4,M4_74,C,460.76,1,1000,600,20,200
M4,M4_75,A,181.35,1,1000,600,20,200
M4,M4_75,B,181.19,1,1000,600,20,200
M4,M4_75,C,174.29,1,1000,600,20,200
M4,M4_76,A,682.36,1,1000,600,20,200
M4,M4_76,B,498.15,1,1000,600,20,200
M4,M4_76,C,257.52,1,1000,600,20,200
M4,M4_77,A,167.2,1,1000,600,20,200
M4,M4_77,B,141.58,1,1000,600,20,200
M4,M4_77,C,167,1,1000,600,20,200
M4,M4_78,A,334.04,1,1000,600,20,200
M4,M4_78,B,201.89,1,1000,600,20,200
M4,M4_78,C,366.44,1,1000,600,20,200
M4,M4_79,A,234.16,1,1000,600,20,200
M4,M4_79,B,190.84,1,1000,600,20,200
M4,M4_79,C,124.99,1,1000,600,20,200
M4,M4_80,A,109.21,1,1000,600,20,200
M4,M4_80,B,130.6,1,1000,600,20,200
M4,M4_80,C,97.08,1,1000,600,20,200
M4,M4_81,A,267.47,1,1000,600,20,200
M4,M4_81,B,210.92,1,1000,600,20,200
M4,M4_81,C,262.92,1,1000,600,20,200
M4,M4_82,A,184.13,1,1000,600,20,200
M4,M4_82,B,187.18,1,1000,600,20,200
M4,M4_82,C,184.2,1,1000,600,20,200
M4,M4_83,A,203.28,1,1000,600,20,200
M4,M4_83,B,216.54,1,1000,600,20,200
M4,M4_83,C,129.44,1,1000,600,20,200
M4,M4_84,A,221.84,1,1000,600,20,200
M4,M4_84,B,232.71,1,1000,600,20,200
M4,M4_84,C,305.48,1,1000,600,20,200
M4,M4_85,A,359.09,1,1000,600,20,200
M4,M4_85,B,545.43,1,1000,600,20,200
M4,M4_85,C,321.2,1,1000,600,20,200
M4,M4_86,A,166.8,1,1000,600,20,200
M4,M4_86,B,282.5,1,1000,600,20,200
M4,M4_86,C,202.4,1,1000,600,20,200
M4,M4_87,A,74,1,1000,600,20,200
M4,M4_87,B,110.34,1,1000,600,20,200
M4,M4_87,C,61.2,1,1000,600,20,200
