TimeP,Date.Time,Date,Time,Tank,PAR
TP1,8/30/2021 15:50,8/30/2021,15:50:00,C2,242
TP1,8/30/2021 16:00,8/30/2021,16:00:00,H1,190
TP1,8/30/2021 16:00,8/30/2021,16:00:00,C2,198
TP1,8/30/2021 16:10,8/30/2021,16:10:00,H1,54
TP1,8/30/2021 16:10,8/30/2021,16:10:00,C2,64
TP1,8/30/2021 16:20,8/30/2021,16:20:00,H1,47
TP1,8/30/2021 16:20,8/30/2021,16:20:00,C2,52
TP1,8/30/2021 16:30,8/30/2021,16:30:00,H1,139
TP1,8/30/2021 16:30,8/30/2021,16:30:00,C2,163
TP1,8/30/2021 16:40,8/30/2021,16:40:00,H1,171
TP1,8/30/2021 16:40,8/30/2021,16:40:00,C2,172
TP1,8/30/2021 16:50,8/30/2021,16:50:00,H1,51
TP1,8/30/2021 16:50,8/30/2021,16:50:00,C2,68
TP1,8/30/2021 17:00,8/30/2021,17:00:00,H1,120
TP1,8/30/2021 17:00,8/30/2021,17:00:00,C2,90
TP1,8/30/2021 17:10,8/30/2021,17:10:00,H1,237
TP1,8/30/2021 17:10,8/30/2021,17:10:00,C2,99
TP1,8/30/2021 17:20,8/30/2021,17:20:00,H1,120
TP1,8/30/2021 17:20,8/30/2021,17:20:00,C2,131
TP1,8/30/2021 17:30,8/30/2021,17:30:00,H1,38
TP1,8/30/2021 17:30,8/30/2021,17:30:00,C2,68
TP1,8/30/2021 17:40,8/30/2021,17:40:00,H1,19
TP1,8/30/2021 17:40,8/30/2021,17:40:00,C2,23
TP1,8/30/2021 17:50,8/30/2021,17:50:00,H1,28
TP1,8/30/2021 17:50,8/30/2021,17:50:00,C2,36
TP1,8/30/2021 18:00,8/30/2021,18:00:00,H1,41
TP1,8/30/2021 18:00,8/30/2021,18:00:00,C2,39
TP1,8/30/2021 18:10,8/30/2021,18:10:00,H1,82
TP1,8/30/2021 18:10,8/30/2021,18:10:00,C2,93
TP1,8/30/2021 18:20,8/30/2021,18:20:00,H1,76
TP1,8/30/2021 18:20,8/30/2021,18:20:00,C2,83
TP1,8/30/2021 18:30,8/30/2021,18:30:00,H1,54
TP1,8/30/2021 18:30,8/30/2021,18:30:00,C2,74
TP1,8/30/2021 18:40,8/30/2021,18:40:00,H1,0
TP1,8/30/2021 18:40,8/30/2021,18:40:00,C2,0
TP1,8/30/2021 18:50,8/30/2021,18:50:00,H1,0
TP1,8/30/2021 18:50,8/30/2021,18:50:00,C2,0
TP1,8/30/2021 19:00,8/30/2021,19:00:00,H1,0
TP1,8/30/2021 19:00,8/30/2021,19:00:00,C2,0
TP1,8/30/2021 19:10,8/30/2021,19:10:00,H1,0
TP1,8/30/2021 19:10,8/30/2021,19:10:00,C2,0
TP1,8/30/2021 19:20,8/30/2021,19:20:00,H1,0
TP1,8/30/2021 19:20,8/30/2021,19:20:00,C2,0
TP1,8/30/2021 19:30,8/30/2021,19:30:00,H1,0
TP1,8/30/2021 19:30,8/30/2021,19:30:00,C2,0
TP1,8/30/2021 19:40,8/30/2021,19:40:00,H1,0
TP1,8/30/2021 19:40,8/30/2021,19:40:00,C2,0
TP1,8/30/2021 19:50,8/30/2021,19:50:00,H1,0
TP1,8/30/2021 19:50,8/30/2021,19:50:00,C2,0
TP1,8/30/2021 20:00,8/30/2021,20:00:00,H1,0
TP1,8/30/2021 20:00,8/30/2021,20:00:00,C2,0
TP1,8/30/2021 20:10,8/30/2021,20:10:00,H1,0
TP1,8/30/2021 20:10,8/30/2021,20:10:00,C2,0
TP1,8/30/2021 20:20,8/30/2021,20:20:00,H1,0
TP1,8/30/2021 20:20,8/30/2021,20:20:00,C2,0
TP1,8/30/2021 20:30,8/30/2021,20:30:00,H1,0
TP1,8/30/2021 20:30,8/30/2021,20:30:00,C2,0
TP1,8/30/2021 20:40,8/30/2021,20:40:00,H1,0
TP1,8/30/2021 20:40,8/30/2021,20:40:00,C2,0
TP1,8/30/2021 20:50,8/30/2021,20:50:00,H1,0
TP1,8/30/2021 20:50,8/30/2021,20:50:00,C2,0
TP1,8/30/2021 21:00,8/30/2021,21:00:00,H1,0
TP1,8/30/2021 21:00,8/30/2021,21:00:00,C2,0
TP1,8/30/2021 21:10,8/30/2021,21:10:00,H1,0
TP1,8/30/2021 21:10,8/30/2021,21:10:00,C2,0
TP1,8/30/2021 21:20,8/30/2021,21:20:00,H1,0
TP1,8/30/2021 21:20,8/30/2021,21:20:00,C2,0
TP1,8/30/2021 21:30,8/30/2021,21:30:00,H1,0
TP1,8/30/2021 21:30,8/30/2021,21:30:00,C2,0
TP1,8/30/2021 21:40,8/30/2021,21:40:00,H1,0
TP1,8/30/2021 21:40,8/30/2021,21:40:00,C2,0
TP1,8/30/2021 21:50,8/30/2021,21:50:00,H1,0
TP1,8/30/2021 21:50,8/30/2021,21:50:00,C2,0
TP1,8/30/2021 22:00,8/30/2021,22:00:00,H1,0
TP1,8/30/2021 22:00,8/30/2021,22:00:00,C2,0
TP1,8/30/2021 22:10,8/30/2021,22:10:00,H1,0
TP1,8/30/2021 22:10,8/30/2021,22:10:00,C2,0
TP1,8/30/2021 22:20,8/30/2021,22:20:00,H1,0
TP1,8/30/2021 22:20,8/30/2021,22:20:00,C2,0
TP1,8/30/2021 22:30,8/30/2021,22:30:00,H1,0
TP1,8/30/2021 22:30,8/30/2021,22:30:00,C2,0
TP1,8/30/2021 22:40,8/30/2021,22:40:00,H1,0
TP1,8/30/2021 22:40,8/30/2021,22:40:00,C2,0
TP1,8/30/2021 22:50,8/30/2021,22:50:00,H1,0
TP1,8/30/2021 22:50,8/30/2021,22:50:00,C2,0
TP1,8/30/2021 23:00,8/30/2021,23:00:00,H1,0
TP1,8/30/2021 23:00,8/30/2021,23:00:00,C2,0
TP1,8/30/2021 23:10,8/30/2021,23:10:00,H1,0
TP1,8/30/2021 23:10,8/30/2021,23:10:00,C2,0
TP1,8/30/2021 23:20,8/30/2021,23:20:00,H1,0
TP1,8/30/2021 23:20,8/30/2021,23:20:00,C2,0
TP1,8/30/2021 23:30,8/30/2021,23:30:00,H1,0
TP1,8/30/2021 23:30,8/30/2021,23:30:00,C2,0
TP1,8/30/2021 23:40,8/30/2021,23:40:00,H1,0
TP1,8/30/2021 23:40,8/30/2021,23:40:00,C2,0
TP1,8/30/2021 23:50,8/30/2021,23:50:00,H1,0
TP1,8/30/2021 23:50,8/30/2021,23:50:00,C2,0
TP1,8/31/2021 0:00,8/31/2021,0:00:00,H1,0
TP1,8/31/2021 0:00,8/31/2021,0:00:00,C2,0
TP1,8/31/2021 0:10,8/31/2021,0:10:00,H1,0
TP1,8/31/2021 0:10,8/31/2021,0:10:00,C2,0
TP1,8/31/2021 0:20,8/31/2021,0:20:00,H1,0
TP1,8/31/2021 0:20,8/31/2021,0:20:00,C2,0
TP1,8/31/2021 0:30,8/31/2021,0:30:00,H1,0
TP1,8/31/2021 0:30,8/31/2021,0:30:00,C2,0
TP1,8/31/2021 0:40,8/31/2021,0:40:00,H1,0
TP1,8/31/2021 0:40,8/31/2021,0:40:00,C2,0
TP1,8/31/2021 0:50,8/31/2021,0:50:00,H1,0
TP1,8/31/2021 0:50,8/31/2021,0:50:00,C2,0
TP1,8/31/2021 1:00,8/31/2021,1:00:00,H1,0
TP1,8/31/2021 1:00,8/31/2021,1:00:00,C2,0
TP1,8/31/2021 1:10,8/31/2021,1:10:00,H1,0
TP1,8/31/2021 1:10,8/31/2021,1:10:00,C2,0
TP1,8/31/2021 1:20,8/31/2021,1:20:00,H1,0
TP1,8/31/2021 1:20,8/31/2021,1:20:00,C2,0
TP1,8/31/2021 1:30,8/31/2021,1:30:00,H1,0
TP1,8/31/2021 1:30,8/31/2021,1:30:00,C2,0
TP1,8/31/2021 1:40,8/31/2021,1:40:00,H1,0
TP1,8/31/2021 1:40,8/31/2021,1:40:00,C2,0
TP1,8/31/2021 1:50,8/31/2021,1:50:00,H1,0
TP1,8/31/2021 1:50,8/31/2021,1:50:00,C2,0
TP1,8/31/2021 2:00,8/31/2021,2:00:00,H1,0
TP1,8/31/2021 2:00,8/31/2021,2:00:00,C2,0
TP1,8/31/2021 2:10,8/31/2021,2:10:00,H1,0
TP1,8/31/2021 2:10,8/31/2021,2:10:00,C2,0
TP1,8/31/2021 2:20,8/31/2021,2:20:00,H1,0
TP1,8/31/2021 2:20,8/31/2021,2:20:00,C2,0
TP1,8/31/2021 2:30,8/31/2021,2:30:00,H1,0
TP1,8/31/2021 2:30,8/31/2021,2:30:00,C2,0
TP1,8/31/2021 2:40,8/31/2021,2:40:00,H1,0
TP1,8/31/2021 2:40,8/31/2021,2:40:00,C2,0
TP1,8/31/2021 2:50,8/31/2021,2:50:00,H1,0
TP1,8/31/2021 2:50,8/31/2021,2:50:00,C2,0
TP1,8/31/2021 3:00,8/31/2021,3:00:00,H1,0
TP1,8/31/2021 3:00,8/31/2021,3:00:00,C2,0
TP1,8/31/2021 3:10,8/31/2021,3:10:00,H1,0
TP1,8/31/2021 3:10,8/31/2021,3:10:00,C2,0
TP1,8/31/2021 3:20,8/31/2021,3:20:00,H1,0
TP1,8/31/2021 3:20,8/31/2021,3:20:00,C2,0
TP1,8/31/2021 3:30,8/31/2021,3:30:00,H1,0
TP1,8/31/2021 3:30,8/31/2021,3:30:00,C2,0
TP1,8/31/2021 3:40,8/31/2021,3:40:00,H1,0
TP1,8/31/2021 3:40,8/31/2021,3:40:00,C2,0
TP1,8/31/2021 3:50,8/31/2021,3:50:00,H1,0
TP1,8/31/2021 3:50,8/31/2021,3:50:00,C2,0
TP1,8/31/2021 4:00,8/31/2021,4:00:00,H1,0
TP1,8/31/2021 4:00,8/31/2021,4:00:00,C2,0
TP1,8/31/2021 4:10,8/31/2021,4:10:00,H1,0
TP1,8/31/2021 4:10,8/31/2021,4:10:00,C2,0
TP1,8/31/2021 4:20,8/31/2021,4:20:00,H1,0
TP1,8/31/2021 4:20,8/31/2021,4:20:00,C2,0
TP1,8/31/2021 4:30,8/31/2021,4:30:00,H1,0
TP1,8/31/2021 4:30,8/31/2021,4:30:00,C2,0
TP1,8/31/2021 4:40,8/31/2021,4:40:00,H1,0
TP1,8/31/2021 4:40,8/31/2021,4:40:00,C2,0
TP1,8/31/2021 4:50,8/31/2021,4:50:00,H1,0
